id,client_order_id,symbol,side,order_type,state,quantity,price,stop_price,time_in_force,exchange,strategy_id,created_at,updated_at,filled_at,canceled_at
paper_1_c0c2a8f5,fb0336a3-ad8b-4327-bc78-148ce8a884c1,BTC/USDT,buy,market,FILLED,0.05912539585930663,,,GTC,paper,paper_trader,2025-09-30 12:13:36.039876+00:00,2025-09-30 12:13:36.039897+00:00,2025-09-30 12:13:36.039898+00:00,
paper_2_10aedc08,28226f31-9bb1-45a1-85da-36c6113448ad,BTC/USDT,sell,market,FILLED,0.05912539585930663,,,GTC,paper,paper_trader,2025-09-30 12:13:38.049502+00:00,2025-09-30 12:13:38.049683+00:00,2025-09-30 12:13:38.049690+00:00,
paper_3_eb9b7375,e39764cd-d052-403e-a960-a5dda6c9a9a2,BTC/USDT,buy,market,FILLED,0.05888023454117106,,,GTC,paper,paper_trader,2025-09-30 12:13:39.057288+00:00,2025-09-30 12:13:39.057415+00:00,2025-09-30 12:13:39.057420+00:00,
paper_4_1c92077f,3ca14794-88fe-4406-aa44-7a66b817390d,BTC/USDT,sell,market,FILLED,0.05888023454117106,,,GTC,paper,paper_trader,2025-09-30 12:13:50.103492+00:00,2025-09-30 12:13:50.103552+00:00,2025-09-30 12:13:50.103554+00:00,
paper_5_db1bf6b8,37dc653f-6813-4f3d-a04a-0d7521e6409a,ETH/USDT,buy,market,FILLED,3.068256432599611,,,GTC,paper,paper_trader,2025-09-30 12:13:50.444566+00:00,2025-09-30 12:13:50.444602+00:00,2025-09-30 12:13:50.444603+00:00,
paper_6_b622a77e,89062216-eb7d-479d-bfdb-96371738bc98,ETH/USDT,sell,market,FILLED,3.068256432599611,,,GTC,paper,paper_trader,2025-09-30 12:13:51.115593+00:00,2025-09-30 12:13:51.115628+00:00,2025-09-30 12:13:51.115629+00:00,
paper_7_bd49d2b8,1eb013cd-3f92-4eb8-8fd6-ac88e3e100c2,ETH/USDT,buy,market,FILLED,3.071385133267401,,,GTC,paper,paper_trader,2025-09-30 12:13:51.451484+00:00,2025-09-30 12:13:51.451616+00:00,2025-09-30 12:13:51.451621+00:00,
paper_8_df8e23c0,85de84b9-19e8-46fb-941c-ea6d2692aca4,ETH/USDT,sell,market,FILLED,3.071385133267401,,,GTC,paper,paper_trader,2025-09-30 12:13:52.459916+00:00,2025-09-30 12:13:52.460039+00:00,2025-09-30 12:13:52.460044+00:00,
paper_9_df0eb500,03e28cdc-6609-4693-b1c4-ae28a26c56db,ETH/USDT,buy,market,FILLED,3.0636316289329373,,,GTC,paper,paper_trader,2025-09-30 12:13:53.133429+00:00,2025-09-30 12:13:53.133556+00:00,2025-09-30 12:13:53.133562+00:00,
paper_10_0a12d607,f0ab112b-515b-442b-9a18-f6b8df11e3d5,SOL/USDT,buy,market,FILLED,38.63390511512904,,,GTC,paper,paper_trader,2025-09-30 12:14:04.857562+00:00,2025-09-30 12:14:04.857619+00:00,2025-09-30 12:14:04.857621+00:00,
paper_11_2e711c26,610ef55c-4de7-485b-8cb6-2250a04301c7,SOL/USDT,sell,market,FILLED,38.63390511512904,,,GTC,paper,paper_trader,2025-09-30 12:14:05.529714+00:00,2025-09-30 12:14:05.529860+00:00,2025-09-30 12:14:05.529868+00:00,
paper_12_7e7b13ee,8425b7fe-faf4-4820-81a4-f0831380dc13,SOL/USDT,buy,market,FILLED,37.08373507379663,,,GTC,paper,paper_trader,2025-09-30 12:14:05.868996+00:00,2025-09-30 12:14:05.869095+00:00,2025-09-30 12:14:05.869099+00:00,
paper_13_becf2c58,b12a677c-771e-4c8a-a239-93723aebcc5d,SOL/USDT,sell,market,FILLED,37.08373507379663,,,GTC,paper,paper_trader,2025-09-30 12:14:06.542429+00:00,2025-09-30 12:14:06.542450+00:00,2025-09-30 12:14:06.542451+00:00,
paper_14_dd5f5544,332f7292-4dbe-4293-a232-9f306d49f405,SOL/USDT,buy,market,FILLED,36.26867836936022,,,GTC,paper,paper_trader,2025-09-30 12:14:06.878341+00:00,2025-09-30 12:14:06.878480+00:00,2025-09-30 12:14:06.878485+00:00,
