ts,coin_id,symbol,price,threshold,status,signal,confidence,agreement_pct,providers,stale,action_recommended
2025-09-27T08:19:37.120679+00:00,solana,SOL,201.61708426767035,500.0,below,threshold_check,0.5972,0.0035,"cmc,coingecko",False,Hold
2025-09-27T08:19:37.120928+00:00,polkadot,DOT,3.872707278548251,10.0,below,threshold_check,0.6378,0.0699,"cmc,coingecko",False,Hold
2025-09-27T08:19:42.982487+00:00,solana,SOL,201.61708426767035,500.0,below,threshold_check,0.5972,0.0035,"cmc,coingecko",False,Hold
2025-09-27T08:19:42.984245+00:00,polkadot,DOT,3.872707278548251,10.0,below,threshold_check,0.6378,0.0699,"cmc,coingecko",False,Hold
2025-09-27T08:19:48.605087+00:00,solana,SOL,201.61708426767035,500.0,below,threshold_check,0.5972,0.0035,"cmc,coingecko",False,Hold
2025-09-27T08:19:48.606109+00:00,polkadot,DOT,3.872707278548251,10.0,below,threshold_check,0.6378,0.0699,"cmc,coingecko",False,Hold
2025-09-27T13:40:56.855759+00:00,solana,SOL,202.90017103778183,500.0,below,threshold_check,0.4123,0.0001,"cmc,coingecko",False,Hold
2025-09-27T13:40:56.857166+00:00,polkadot,DOT,3.8891045353547486,10.0,below,threshold_check,0.5658,0.023,"cmc,coingecko",False,Hold
2025-09-27T13:41:01.418624+00:00,solana,SOL,202.90017103778183,500.0,below,threshold_check,0.4123,0.0001,"cmc,coingecko",False,Hold
2025-09-27T13:41:01.419929+00:00,polkadot,DOT,3.8891045353547486,10.0,below,threshold_check,0.5658,0.023,"cmc,coingecko",False,Hold
2025-09-27T13:41:07.000396+00:00,solana,SOL,202.90643374323543,500.0,below,threshold_check,0.4123,0.0032,"cmc,coingecko",False,Hold
2025-09-27T13:41:07.001755+00:00,polkadot,DOT,3.8891880724249557,10.0,below,threshold_check,0.5658,0.0209,"cmc,coingecko",False,Hold
2025-09-27T13:41:12.530197+00:00,solana,SOL,202.90643374323543,500.0,below,threshold_check,0.4123,0.0032,"cmc,coingecko",False,Hold
2025-09-27T13:41:12.531287+00:00,polkadot,DOT,3.8891880724249557,10.0,below,threshold_check,0.5658,0.0209,"cmc,coingecko",False,Hold
2025-09-27T13:44:52.464840+00:00,solana,SOL,203.01,500.0,below,threshold_check,0.4122,0.0936,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:44:52.466124+00:00,polkadot,DOT,3.890948765307718,10.0,below,threshold_check,0.5657,0.0784,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:44:55.506839+00:00,solana,SOL,203.01,500.0,below,threshold_check,0.4122,0.1182,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:44:55.508058+00:00,polkadot,DOT,3.890948765307718,10.0,below,threshold_check,0.5657,0.0784,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:45:01.553533+00:00,solana,SOL,203.01,500.0,below,threshold_check,0.4122,0.1133,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:45:01.554991+00:00,polkadot,DOT,3.890948765307718,10.0,below,threshold_check,0.5657,0.0784,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:28.262245+00:00,solana,SOL,203.2,500.0,below,threshold_check,0.412,0.2559,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:28.263273+00:00,polkadot,DOT,3.89,10.0,below,threshold_check,0.5657,0.0771,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:30.038608+00:00,solana,SOL,203.2,500.0,below,threshold_check,0.412,0.2559,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:30.039977+00:00,polkadot,DOT,3.89,10.0,below,threshold_check,0.5657,0.0771,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:36.109765+00:00,solana,SOL,203.2,500.0,below,threshold_check,0.412,0.2559,"cmc,coingecko,ccxt",False,Hold
2025-09-27T13:52:36.110731+00:00,polkadot,DOT,3.89,10.0,below,threshold_check,0.5657,0.0771,"cmc,coingecko,ccxt",False,Hold
